model,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,fit_time_mean
10_GaussianNB,0.9299591361402945,0.001162966337645323,0.9382994289456853,0.001903086574747479,0.923200113878785,0.0008377880312575206,0.923200113878785,0.0008377880312575206,0.0021649996439615884
8_LogisticRegression,0.9295214074802978,0.002775844060197511,0.938100398580738,0.00310545439076238,0.9220003538307945,0.0025343656942012757,0.9220003538307945,0.0025343656942012757,0.06534473101298015
9_AdaBoost,0.9252856933745707,0.002410065029351741,0.9300886583607971,0.003975437252064772,0.9269995940787833,0.002053968521276325,0.9269995940787833,0.002053968521276325,1.3206616242726643
5_GradientBoosting,0.9222171246771756,0.0029735973113064608,0.9231236321424241,0.00348801245649077,0.9225999938067608,0.002449097828272007,0.9225999938067608,0.002449097828272007,28.131684064865112
E1_VotingClassifier,0.9170075595074149,0.0031009866314536203,0.9127500243418177,0.0043095748234611144,0.9224000337987625,0.002207336865396686,0.9224000337987625,0.002207336865396686,3.315749406814575
E2_StackingClassifier,0.916925090468681,0.0032067799620576843,0.9150450517999428,0.006006584876591321,0.9230000338467721,0.0017184715308796298,0.9230000338467721,0.0017184715308796298,14.820053418477377
2_XGBoost,0.9153053996768223,0.003739500299897181,0.9115439058041502,0.005041543429459089,0.9197999535747113,0.0026988957397307725,0.9197999535747113,0.0026988957397307725,1.0833497047424316
3_LightGBM,0.9151386437171282,0.004604604881771952,0.9108472515959211,0.005760352891636952,0.9199997935586953,0.0037453073002812073,0.9199997935586953,0.0037453073002812073,5.396820147832234
1_RandomForest,0.8990411477217704,0.003669104172431835,0.8858304339309239,0.0059714796412998865,0.9212000337027432,0.0031859290093712543,0.9212000337027432,0.0031859290093712543,0.51652725537618
6_ExtraTrees,0.8799424682127733,0.0013601294358419863,0.855302058794714,0.01191017359243297,0.916800193382692,0.00100361590481165,0.916800193382692,0.00100361590481165,0.13889129956563315
